userId,rating,title
user_1,4,Toy Story (1995)
user_5,4,Toy Story (1995)
user_7,4.5,Toy Story (1995)
user_15,2.5,Toy Story (1995)
user_17,4.5,Toy Story (1995)
user_18,3.5,Toy Story (1995)
user_19,4,Toy Story (1995)
user_21,3.5,Toy Story (1995)
user_27,3,Toy Story (1995)
user_31,5,Toy Story (1995)
user_32,3,Toy Story (1995)
user_33,3,Toy Story (1995)
user_40,5,Toy Story (1995)
user_43,5,Toy Story (1995)
user_44,3,Toy Story (1995)
user_45,4,Toy Story (1995)
user_46,5,Toy Story (1995)
user_50,3,Toy Story (1995)
user_54,3,Toy Story (1995)
user_57,5,Toy Story (1995)
user_63,5,Toy Story (1995)
user_64,4,Toy Story (1995)
user_66,4,Toy Story (1995)
user_68,2.5,Toy Story (1995)
user_71,5,Toy Story (1995)
user_73,4.5,Toy Story (1995)
user_76,0.5,Toy Story (1995)
user_78,4,Toy Story (1995)
user_82,2.5,Toy Story (1995)
user_86,4,Toy Story (1995)
user_89,3,Toy Story (1995)
user_90,3,Toy Story (1995)
user_91,4,Toy Story (1995)
user_93,3,Toy Story (1995)
user_96,5,Toy Story (1995)
user_98,4.5,Toy Story (1995)
user_103,4,Toy Story (1995)
user_107,4,Toy Story (1995)
user_112,3,Toy Story (1995)
user_119,3.5,Toy Story (1995)
user_121,4,Toy Story (1995)
user_124,4,Toy Story (1995)
user_130,3,Toy Story (1995)
user_132,2,Toy Story (1995)
user_134,3,Toy Story (1995)
user_135,4,Toy Story (1995)
user_137,4,Toy Story (1995)
user_140,3,Toy Story (1995)
user_141,4,Toy Story (1995)
user_144,3.5,Toy Story (1995)
user_145,5,Toy Story (1995)
user_151,5,Toy Story (1995)
user_153,2,Toy Story (1995)
user_155,3,Toy Story (1995)
user_156,4,Toy Story (1995)
user_159,4.5,Toy Story (1995)
user_160,4,Toy Story (1995)
user_161,4,Toy Story (1995)
user_166,5,Toy Story (1995)
user_167,3.5,Toy Story (1995)
user_169,4.5,Toy Story (1995)
user_171,5,Toy Story (1995)
user_177,5,Toy Story (1995)
user_178,4,Toy Story (1995)
user_179,4,Toy Story (1995)
user_182,4,Toy Story (1995)
user_185,4,Toy Story (1995)
user_186,4,Toy Story (1995)
user_191,4,Toy Story (1995)
user_193,2,Toy Story (1995)
user_200,3.5,Toy Story (1995)
user_201,5,Toy Story (1995)
user_202,4,Toy Story (1995)
user_206,5,Toy Story (1995)
user_213,3.5,Toy Story (1995)
user_214,3,Toy Story (1995)
user_216,3,Toy Story (1995)
user_217,4,Toy Story (1995)
user_219,3.5,Toy Story (1995)
user_220,5,Toy Story (1995)
user_223,3.5,Toy Story (1995)
user_226,3.5,Toy Story (1995)
user_229,5,Toy Story (1995)
user_232,3.5,Toy Story (1995)
user_233,3,Toy Story (1995)
user_234,5,Toy Story (1995)
user_239,4,Toy Story (1995)
user_240,5,Toy Story (1995)
user_247,5,Toy Story (1995)
user_249,4,Toy Story (1995)
user_252,4.5,Toy Story (1995)
user_254,4.5,Toy Story (1995)
user_263,4,Toy Story (1995)
user_264,4,Toy Story (1995)
user_266,2,Toy Story (1995)
user_269,5,Toy Story (1995)
user_270,5,Toy Story (1995)
user_273,5,Toy Story (1995)
user_274,4,Toy Story (1995)
user_275,5,Toy Story (1995)
user_276,4,Toy Story (1995)
user_277,4,Toy Story (1995)
user_279,3,Toy Story (1995)
user_280,4.5,Toy Story (1995)
user_282,4.5,Toy Story (1995)
user_283,3,Toy Story (1995)
user_288,4.5,Toy Story (1995)
user_290,4,Toy Story (1995)
user_291,4,Toy Story (1995)
user_292,4,Toy Story (1995)
user_293,3,Toy Story (1995)
user_298,2,Toy Story (1995)
user_304,5,Toy Story (1995)
user_307,4,Toy Story (1995)
user_314,3,Toy Story (1995)
user_322,3.5,Toy Story (1995)
user_323,3.5,Toy Story (1995)
user_328,5,Toy Story (1995)
user_330,4,Toy Story (1995)
user_332,4,Toy Story (1995)
user_334,3.5,Toy Story (1995)
user_336,4,Toy Story (1995)
user_337,4,Toy Story (1995)
user_339,4,Toy Story (1995)
user_341,5,Toy Story (1995)
user_347,5,Toy Story (1995)
user_350,4,Toy Story (1995)
user_353,5,Toy Story (1995)
user_357,5,Toy Story (1995)
user_359,4,Toy Story (1995)
user_364,5,Toy Story (1995)
user_367,5,Toy Story (1995)
user_372,3,Toy Story (1995)
user_373,3,Toy Story (1995)
user_378,4.5,Toy Story (1995)
user_380,5,Toy Story (1995)
user_381,3.5,Toy Story (1995)
user_382,4.5,Toy Story (1995)
user_385,4,Toy Story (1995)
user_389,5,Toy Story (1995)
user_391,3,Toy Story (1995)
user_396,5,Toy Story (1995)
user_399,4,Toy Story (1995)
user_401,3.5,Toy Story (1995)
user_411,5,Toy Story (1995)
user_412,2,Toy Story (1995)
user_414,4,Toy Story (1995)
user_420,4,Toy Story (1995)
user_422,4,Toy Story (1995)
user_432,2.5,Toy Story (1995)
user_434,4,Toy Story (1995)
user_436,4,Toy Story (1995)
user_438,4.5,Toy Story (1995)
user_443,4,Toy Story (1995)
user_448,5,Toy Story (1995)
user_451,5,Toy Story (1995)
user_453,5,Toy Story (1995)
user_456,5,Toy Story (1995)
user_460,4.5,Toy Story (1995)
user_462,1.5,Toy Story (1995)
user_468,4,Toy Story (1995)
user_469,4,Toy Story (1995)
user_470,4,Toy Story (1995)
user_471,5,Toy Story (1995)
user_474,4,Toy Story (1995)
user_476,4,Toy Story (1995)
user_477,4,Toy Story (1995)
user_480,3,Toy Story (1995)
user_483,4,Toy Story (1995)
user_484,4.5,Toy Story (1995)
user_488,4.5,Toy Story (1995)
user_490,3.5,Toy Story (1995)
user_492,4,Toy Story (1995)
user_500,4,Toy Story (1995)
user_504,4,Toy Story (1995)
user_509,4,Toy Story (1995)
user_514,4,Toy Story (1995)
user_517,4,Toy Story (1995)
user_522,3,Toy Story (1995)
user_524,4,Toy Story (1995)
user_525,4,Toy Story (1995)
user_528,2.5,Toy Story (1995)
user_529,3,Toy Story (1995)
user_533,5,Toy Story (1995)
user_534,4,Toy Story (1995)
user_541,3,Toy Story (1995)
user_544,3,Toy Story (1995)
user_550,4,Toy Story (1995)
user_555,4,Toy Story (1995)
user_559,5,Toy Story (1995)
user_560,3,Toy Story (1995)
user_561,4,Toy Story (1995)
user_562,4.5,Toy Story (1995)
user_567,3.5,Toy Story (1995)
user_570,4,Toy Story (1995)
user_572,4,Toy Story (1995)
user_573,5,Toy Story (1995)
user_579,4,Toy Story (1995)
user_580,3,Toy Story (1995)
user_584,5,Toy Story (1995)
user_587,5,Toy Story (1995)
user_590,4,Toy Story (1995)
user_596,4,Toy Story (1995)
user_597,4,Toy Story (1995)
user_599,3,Toy Story (1995)
user_600,2.5,Toy Story (1995)
user_601,4,Toy Story (1995)
user_603,4,Toy Story (1995)
user_604,3,Toy Story (1995)
user_605,4,Toy Story (1995)
user_606,2.5,Toy Story (1995)
user_607,4,Toy Story (1995)
user_608,2.5,Toy Story (1995)
user_609,3,Toy Story (1995)
user_610,5,Toy Story (1995)
user_6,5,Grumpier Old Men (1995)
user_42,4,Grumpier Old Men (1995)
user_51,4,Grumpier Old Men (1995)
user_58,3,Grumpier Old Men (1995)
user_100,3.5,Grumpier Old Men (1995)
user_102,5,Grumpier Old Men (1995)
user_116,3.5,Grumpier Old Men (1995)
user_117,3,Grumpier Old Men (1995)
user_150,3,Grumpier Old Men (1995)
user_289,2.5,Grumpier Old Men (1995)
user_294,1,Grumpier Old Men (1995)
user_302,3,Grumpier Old Men (1995)
user_308,0.5,Grumpier Old Men (1995)
user_321,3,Grumpier Old Men (1995)
user_368,3,Grumpier Old Men (1995)
user_410,4,Grumpier Old Men (1995)
user_501,5,Grumpier Old Men (1995)
user_552,1,Grumpier Old Men (1995)
user_588,3,Grumpier Old Men (1995)
user_594,4,Grumpier Old Men (1995)
user_11,5,Heat (1995)
user_23,4,Heat (1995)
user_24,4.5,Heat (1995)
user_28,3.5,Heat (1995)
user_62,4.5,Heat (1995)
user_79,4,Heat (1995)
user_84,4,Heat (1995)
user_105,4,Heat (1995)
user_109,3,Heat (1995)
user_181,3,Heat (1995)
user_195,4,Heat (1995)
user_199,4,Heat (1995)
user_244,5,Heat (1995)
user_286,4.5,Heat (1995)
user_297,5,Heat (1995)
user_305,3.5,Heat (1995)
user_312,4,Heat (1995)
user_313,3,Heat (1995)
user_317,5,Heat (1995)
user_318,4,Heat (1995)
user_325,4,Heat (1995)
user_362,4,Heat (1995)
user_386,3,Heat (1995)
user_400,5,Heat (1995)
user_425,4,Heat (1995)
user_437,5,Heat (1995)
user_444,4,Heat (1995)
user_486,5,Heat (1995)
user_493,4,Heat (1995)
user_521,4,Heat (1995)
user_532,5,Heat (1995)
user_553,5,Heat (1995)
user_577,4,Heat (1995)
user_592,3,Heat (1995)
user_602,3,Heat (1995)
user_4,2,Seven (a.k.a. Se7en) (1995)
